Date,Open,High,Low,Close,Adj Close,Volume
2017-05-05,25.200001,27.93,24.809998999999998,27.459999,27.459999,38740868
2017-05-06,27.459999,30.91,27.299999,29.5,29.5,64930012
2017-05-07,29.5,29.83,27.110001,28.1,28.1,42746336
2017-05-08,28.1,32.439999,23.280001000000002,31.77,31.77,88418239
2017-05-09,31.77,36.470001,29.040001,31.280001000000002,31.280001000000002,124969930
2017-05-10,31.280001000000002,32.080002,26.98,29.879998999999998,29.879998999999998,63878910
2017-05-11,29.879998999999998,30.780001000000002,25.559998999999998,26.76,26.76,48199985
2017-05-12,26.76,28.18,24.469998999999998,28.139999,28.139999,34940101
2017-05-13,28.139999,29.860001,26.790001,28.07,28.07,27363120
2017-05-14,28.07,28.09,23.23,24.5,24.5,37537464
2017-05-15,24.5,25.15,20.92,22.83,22.83,53456345
2017-05-16,22.83,26.0,20.32,25.059998999999998,25.059998999999998,59239250
2017-05-17,25.059998999999998,28.790001,24.440001000000002,27.879998999999998,27.879998999999998,46063027
2017-05-18,27.879998999999998,28.200001,26.190001000000002,27.27,27.27,37085394
2017-05-19,27.27,28.17,26.66,27.42,27.42,20413017
2017-05-20,27.42,28.540001,25.26,26.02,26.02,33593334
2017-05-21,26.02,26.700001,22.82,24.790001,24.790001,53140116
2017-05-22,24.790001,31.719998999999998,24.4,31.360001,31.360001,69453835
2017-05-23,31.360001,35.939999,29.85,34.799999,34.799999,76427969
2017-05-24,34.799999,35.759997999999996,26.07,28.32,28.32,82873114
2017-05-25,28.32,31.35,23.35,24.450001,24.450001,62136621
2017-05-26,24.450001,25.940001000000002,18.129998999999998,22.83,22.83,63559697
2017-05-27,22.83,25.92,21.790001,23.889999,23.889999,37736853
2017-05-28,23.889999,25.99,23.01,25.33,25.33,25039934
2017-05-29,25.33,26.33,23.540001,23.889999,23.889999,28996976
2017-05-30,23.889999,25.99,23.51,25.91,25.91,25232341
2017-05-31,25.91,29.610001,25.77,27.549999,27.549999,49800957
2017-06-01,27.549999,28.65,26.780001000000002,28.27,28.27,22513588
2017-06-02,28.27,28.559998999999998,26.809998999999998,27.27,27.27,16824195
2017-06-03,27.27,27.93,26.860001,27.889999,27.889999,15762467
2017-06-04,27.889999,31.620001000000002,27.85,30.780001000000002,30.780001000000002,40548644
2017-06-05,30.780001000000002,31.190001000000002,28.32,30.07,30.07,42992959
